source,target
80BE3207,75EBE974
8157BFFB,09E7EE61
8157BFFB,810684B2
8157BFFB,NE35318
8157BFFB,NE30731
8157BFFB,NE33326
8157BFFB,NE31948
8157BFFB,59A82BCE
8157BFFB,807EEC15
8157BFFB,NE31686
8157BFFB,NE31266
8157BFFB,7DF2B059
8157BFFB,0F1453CB
8157BFFB,807EEC15
8157BFFB,7E93F48F
8157BFFB,7E93F48F
8157BFFB,7F2A7F3A
8157BFFB,5B4F36DC
8157BFFB,59A82BCE
8157BFFB,810684B2
806AB14A,5B85685B
806AB14A,7DAAE1D6
806AB14A,7F6A9842
806AB14A,7C8D4C37
806AB14A,5858E498
806AB14A,7AA82AB5
806AB14A,63117134
7E6ACB59,6D9583F3
7E6ACB59,7FC0EB43
7E6ACB59,5D6C196A
7E6ACB59,NE34146
7E6ACB59,7CFC051F
7E6ACB59,075A02B4
7E6ACB59,85EA8AFD
7E6ACB59,7F26768D
7E6ACB59,7FC0EB43
7E6ACB59,6D9583F3
7E6ACB59,810D2143
7E6ACB59,0C589ABF
7E6ACB59,5E544D65
7E6ACB59,0882DBD9
7E6ACB59,7E096848
7E6ACB59,80A358D5
7E6ACB59,NE34148
7E6ACB59,7F26768D
7E6ACB59,0882DBD9
7E6ACB59,5E544D65
7E6ACB59,NE34147
7E6ACB59,NE34144
7E6ACB59,NE14136
7E6ACB59,80A358D5
7E6ACB59,NE9994
7E6ACB59,NE11099
7E6ACB59,604865C3
7E6ACB59,NE34149
7E6ACB59,810D2143
7E6ACB59,075A02B4
7EE12F57,8048C2E8
7EE12F57,NE33969
7EE12F57,NE33970
7EE12F57,NE31448
7EE12F57,NE33959
7EE12F57,7F2002D7
7EE12F57,NE33968
7EE12F57,071219D9
7EE12F57,NE33966
7EE12F57,80125530
7EE12F57,7EBB25E3
7EE12F57,5B5C7FF4
7EE12F57,7F3EDE1E
7EE12F57,80D1ADA4
7EE12F57,NE33963
7EE12F57,7D432C2F
7EE12F57,809250D0
7EE12F57,NE33971
7EE12F57,80BBD719
7EE12F57,80D1ADA4
7EE12F57,08B134DD
7EE12F57,80125530
7EE12F57,7FF470C4
7EE12F57,7B6F5C76
7EE12F57,0110E01C
7EE12F57,071219D9
7EE12F57,5B5C7FF4
7EE12F57,84F7C4A6
7EE12F57,7AE5DD56
7EE12F57,7D17FC2A
7E31DD39,NE34072
7E31DD39,7CF6A32A
7E31DD39,7AB9B6AB
7E31DD39,81574CE5
7E31DD39,NE34076
7E31DD39,NE34077
7E31DD39,8036A916
7E31DD39,75D62805
7E31DD39,NE31023
7E31DD39,7D978831
7E31DD39,NE34081
7E31DD39,79B51E6A
7E31DD39,NE34083
7E31DD39,NE28497
7E31DD39,81308FAD
7E31DD39,NE31026
7E31DD39,7CCDF5EF
7E31DD39,72A84C3E
7E31DD39,594F4399
7E31DD39,7FB8E1DE
7E31DD39,NE31032
7E31DD39,80EDA9F6
7E31DD39,NE31035
7E31DD39,7D8F23CA
7E31DD39,0B6D2B69
7E31DD39,NE34088
7E31DD39,77E5EF8C
7E31DD39,75989FBE
7E31DD39,5A396342
7E31DD39,5A396342
7E31DD39,805FA604
7E31DD39,81574CE5
7E31DD39,8036A916
7E31DD39,7BE99A9D
7E31DD39,7E9595A1
7E31DD39,7E419F34
7E31DD39,079120ED
7E31DD39,7D8F23CA
7E31DD39,72A84C3E
7E31DD39,7FB8E1DE
7E31DD39,81308FAD
7E31DD39,80EDA9F6
7E31DD39,7AC3FDA2
7E31DD39,77E5EF8C
7E31DD39,79B51E6A
7E31DD39,7CF6A32A
7E31DD39,75D62805
7E31DD39,7CCDF5EF
7E31DD39,0B6D2B69
7E31DD39,7974DAA7
7E31DD39,7AB9B6AB
7E31DD39,7D978831
7DE64582,5F017664
7DE64582,79F5AEDC
7DE64582,769EB29A
7DE64582,7D846DE0
7DE64582,NE34752
7DE64582,5A6A9E26
7DE64582,7ED7536B
7DE64582,797C7630
7DE64582,NE34186
7DE64582,5D27904C
7DE64582,NE34754
7DE64582,769EB29A
7DE64582,7F10A3D0
7DE64582,7-Dec-82
7DE64582,7FF0C487
7DE64582,7BC1A0BE
7DE64582,79F5AEDC
7DE64582,78FB28E4
7DE64582,861DB24C
7DE64582,7BCE308B
7DE64582,5F017664
7DE64582,7F86CB20
7DE64582,7F0DF1A6
7DE64582,7ED7536B
7FE0A128,NE34813
7FE0A128,NE34811
7FE0A128,80CDC13D
7FE0A128,5EA2F6E9
7FE0A128,NE14159
7FE0A128,7D666242
7FE0A128,NE34810
7FE0A128,62269801
7FE0A128,NE34350
7FE0A128,83549F30
7FE0A128,80D6EE01
7FE0A128,7FE3676F
7FE0A128,7E4AC048
7FE0A128,5E0ADA25
7FE0A128,80CDC13D
7FE0A128,7D666242
7FE0A128,62269801
7FE0A128,NE34812
7FE0A128,7DE857EC
7FE0A128,7BF75509
7FE0A128,5EA2F6E9
7F3D8D37,813E781F
7F3D8D37,7E40C20B
